label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
0,863,744,87,91,Accra110.jpg,1595,975
0,121,193,95,78,Accra110.jpg,1595,975
0,4,239,98,112,Accra110.jpg,1595,975
0,1241,36,151,100,Accra143.jpg,1595,975
1,0,396,36,30,Accra111.jpg,1595,975
1,132,401,83,30,Accra111.jpg,1595,975
1,288,392,81,34,Accra111.jpg,1595,975
1,573,415,74,23,Accra111.jpg,1595,975
1,698,409,81,32,Accra111.jpg,1595,975
1,808,386,87,21,Accra111.jpg,1595,975
1,916,415,68,30,Accra111.jpg,1595,975
1,1044,386,64,19,Accra111.jpg,1595,975
1,1133,407,51,21,Accra111.jpg,1595,975
1,1287,379,85,32,Accra111.jpg,1595,975
1,1372,401,59,23,Accra111.jpg,1595,975
1,1451,405,68,25,Accra111.jpg,1595,975
1,1476,386,57,11,Accra111.jpg,1595,975
1,1304,681,83,28,Accra111.jpg,1595,975
1,1381,581,83,30,Accra111.jpg,1595,975
1,764,428,34,53,Accra112.jpg,1595,975
1,872,176,19,62,Accra112.jpg,1595,975
1,914,74,17,42,Accra112.jpg,1595,975
1,1215,859,91,59,Accra112.jpg,1595,975
1,689,587,38,78,Accra112.jpg,1595,975
1,445,687,134,32,Accra112.jpg,1595,975
1,316,697,100,45,Accra112.jpg,1595,975
1,19,837,100,21,Accra112.jpg,1595,975
1,679,689,104,47,Accra112.jpg,1595,975
1,1423,345,72,23,Accra112.jpg,1595,975
1,1461,388,85,15,Accra112.jpg,1595,975
1,568,269,25,78,Accra113.jpg,1595,975
1,604,468,70,108,Accra114.jpg,1595,975
1,456,753,102,119,Accra114.jpg,1595,975
1,318,386,62,136,Accra114.jpg,1595,975
1,356,547,57,70,Accra116.jpg,1595,975
1,420,581,36,106,Accra116.jpg,1595,975
1,221,780,136,59,Accra116.jpg,1595,975
1,1031,848,136,51,Accra116.jpg,1595,975
1,630,560,134,34,Accra119.jpg,1595,975
1,562,589,132,42,Accra119.jpg,1595,975
1,918,572,102,123,Accra120.jpg,1595,975
1,969,528,89,95,Accra120.jpg,1595,975
1,93,638,106,49,Accra120.jpg,1595,975
1,541,17,119,38,Accra120.jpg,1595,975
1,448,634,95,47,Accra122.jpg,1595,975
1,607,566,78,66,Accra122.jpg,1595,975
1,702,538,66,66,Accra122.jpg,1595,975
1,783,513,95,51,Accra122.jpg,1595,975
1,547,477,66,66,Accra123.jpg,1595,975
1,649,373,112,21,Accra123.jpg,1595,975
1,679,403,72,47,Accra123.jpg,1595,975
1,380,795,127,104,Accra123.jpg,1595,975
1,895,611,91,83,Accra123.jpg,1595,975
1,965,651,98,121,Accra123.jpg,1595,975
1,965,863,87,112,Accra123.jpg,1595,975
1,1010,814,68,123,Accra123.jpg,1595,975
1,1103,820,76,108,Accra123.jpg,1595,975
1,1147,759,38,108,Accra123.jpg,1595,975
1,1173,736,66,132,Accra123.jpg,1595,975
1,1228,719,34,121,Accra123.jpg,1595,975
1,1251,681,83,42,Accra123.jpg,1595,975
1,1402,623,102,32,Accra123.jpg,1595,975
1,1366,702,21,104,Accra123.jpg,1595,975
1,1366,700,112,59,Accra123.jpg,1595,975
1,1427,676,100,68,Accra123.jpg,1595,975
1,628,125,70,45,Accra123.jpg,1595,975
1,1514,432,81,83,Accra123.jpg,1595,975
1,187,178,100,47,Accra124.jpg,1595,975
1,1053,23,72,25,Accra124.jpg,1595,975
1,1422,57,53,52,Accra124.jpg,1595,975
1,1511,87,50,35,Accra124.jpg,1595,975
1,1489,47,23,49,Accra124.jpg,1595,975
1,1554,76,36,41,Accra124.jpg,1595,975
1,611,377,70,55,Accra126.jpg,1595,975
1,549,403,59,34,Accra126.jpg,1595,975
1,325,462,57,45,Accra126.jpg,1595,975
1,390,441,38,55,Accra126.jpg,1595,975
1,274,373,55,49,Accra126.jpg,1595,975
1,42,871,157,34,Accra126.jpg,1595,975
1,558,731,121,32,Accra126.jpg,1595,975
1,1347,403,85,45,Accra126.jpg,1595,975
1,600,504,55,49,Accra126.jpg,1595,975
1,770,371,117,98,Accra126.jpg,1595,975
1,1012,375,47,66,Accra126.jpg,1595,975
1,772,379,53,38,Accra127.jpg,1595,975
1,1035,379,45,47,Accra127.jpg,1595,975
1,876,373,28,15,Accra127.jpg,1595,975
1,647,502,91,42,Accra128.jpg,1595,975
1,713,481,72,40,Accra128.jpg,1595,975
1,1092,494,110,53,Accra128.jpg,1595,975
1,1264,549,104,32,Accra129.jpg,1595,975
1,1292,611,93,30,Accra129.jpg,1595,975
1,1298,642,125,19,Accra129.jpg,1595,975
1,1334,668,89,47,Accra129.jpg,1595,975
1,1336,706,70,45,Accra129.jpg,1595,975
1,1385,721,70,66,Accra129.jpg,1595,975
1,520,466,93,32,Accra129.jpg,1595,975
1,518,488,89,36,Accra129.jpg,1595,975
1,522,513,76,51,Accra129.jpg,1595,975
1,518,598,100,19,Accra129.jpg,1595,975
1,658,526,95,42,Accra129.jpg,1595,975
1,662,574,93,40,Accra129.jpg,1595,975
1,700,642,76,36,Accra129.jpg,1595,975
1,681,672,93,72,Accra129.jpg,1595,975
1,713,731,74,53,Accra129.jpg,1595,975
1,522,364,78,28,Accra129.jpg,1595,975
1,503,267,83,49,Accra129.jpg,1595,975
1,526,195,45,76,Accra13.jpg,1595,975
1,481,339,53,62,Accra13.jpg,1595,975
1,448,411,59,51,Accra13.jpg,1595,975
1,450,494,42,85,Accra13.jpg,1595,975
1,407,630,47,91,Accra13.jpg,1595,975
1,505,810,129,51,Accra13.jpg,1595,975
1,1194,833,102,57,Accra13.jpg,1595,975
1,1024,846,91,23,Accra13.jpg,1595,975
1,681,309,81,40,Accra13.jpg,1595,975
1,785,299,66,40,Accra13.jpg,1595,975
1,1039,316,108,53,Accra13.jpg,1595,975
1,713,468,284,180,Accra133.jpg,1595,975
1,1175,333,74,49,Accra133.jpg,1595,975
1,1270,337,70,104,Accra133.jpg,1595,975
1,104,657,85,42,Accra134.jpg,1595,975
1,214,627,81,55,Accra134.jpg,1595,975
1,308,613,81,62,Accra134.jpg,1595,975
1,401,585,127,70,Accra134.jpg,1595,975
1,549,589,85,40,Accra134.jpg,1595,975
1,638,562,74,53,Accra134.jpg,1595,975
1,25,787,49,76,Accra134.jpg,1595,975
1,804,572,81,57,Accra134.jpg,1595,975
1,925,560,115,42,Accra134.jpg,1595,975
1,1065,553,89,49,Accra134.jpg,1595,975
1,1162,869,112,49,Accra134.jpg,1595,975
1,371,755,55,72,Accra134.jpg,1595,975
1,655,710,59,70,Accra134.jpg,1595,975
1,437,666,78,32,Accra134.jpg,1595,975
1,660,619,72,42,Accra134.jpg,1595,975
1,1357,570,45,38,Accra134.jpg,1595,975
1,993,502,153,42,Accra134.jpg,1595,975
1,1050,481,76,28,Accra134.jpg,1595,975
1,1141,498,85,32,Accra134.jpg,1595,975
1,1224,475,87,25,Accra134.jpg,1595,975
1,1321,460,70,38,Accra134.jpg,1595,975
1,1425,430,47,38,Accra134.jpg,1595,975
1,1391,483,85,25,Accra134.jpg,1595,975
1,473,379,70,53,Accra134.jpg,1595,975
1,403,322,57,53,Accra134.jpg,1595,975
1,168,490,36,66,Accra134.jpg,1595,975
1,199,473,38,72,Accra134.jpg,1595,975
1,238,473,40,70,Accra134.jpg,1595,975
1,778,466,57,74,Accra135.jpg,1595,975
1,804,577,59,68,Accra135.jpg,1595,975
1,867,795,74,93,Accra135.jpg,1595,975
1,1012,687,59,98,Accra135.jpg,1595,975
1,708,188,49,42,Accra135.jpg,1595,975
1,560,93,62,55,Accra135.jpg,1595,975
1,781,261,59,45,Accra135.jpg,1595,975
1,812,294,83,74,Accra135.jpg,1595,975
1,965,441,83,66,Accra135.jpg,1595,975
1,647,44,59,36,Accra136.jpg,1595,975
1,844,256,64,51,Accra136.jpg,1595,975
1,1228,331,36,78,Accra136.jpg,1595,975
1,1245,384,68,55,Accra136.jpg,1595,975
1,1285,405,64,59,Accra136.jpg,1595,975
1,1336,441,49,66,Accra136.jpg,1595,975
1,1266,511,74,42,Accra136.jpg,1595,975
1,496,460,68,36,Accra137.jpg,1595,975
1,475,502,78,32,Accra137.jpg,1595,975
1,460,551,70,34,Accra137.jpg,1595,975
1,674,468,76,42,Accra137.jpg,1595,975
1,653,551,25,45,Accra137.jpg,1595,975
1,689,557,40,40,Accra137.jpg,1595,975
1,734,570,28,93,Accra137.jpg,1595,975
1,823,602,25,110,Accra137.jpg,1595,975
1,764,441,32,83,Accra137.jpg,1595,975
1,778,316,32,95,Accra137.jpg,1595,975
1,800,239,25,57,Accra137.jpg,1595,975
1,677,755,38,102,Accra137.jpg,1595,975
1,1105,133,53,21,Accra138.jpg,1595,975
1,1097,104,68,13,Accra138.jpg,1595,975
1,1313,307,38,66,Accra138.jpg,1595,975
1,1237,188,40,64,Accra139.jpg,1595,975
1,717,345,68,28,Accra139.jpg,1595,975
1,689,379,83,34,Accra139.jpg,1595,975
1,666,411,62,40,Accra139.jpg,1595,975
1,530,547,62,91,Accra139.jpg,1595,975
1,522,193,32,64,Accra14.jpg,1595,975
1,490,343,38,64,Accra14.jpg,1595,975
1,458,401,40,76,Accra14.jpg,1595,975
1,458,504,38,72,Accra14.jpg,1595,975
1,501,808,161,45,Accra14.jpg,1595,975
1,1186,844,115,49,Accra14.jpg,1595,975
1,679,309,95,42,Accra14.jpg,1595,975
1,770,314,70,38,Accra14.jpg,1595,975
1,1039,316,89,42,Accra14.jpg,1595,975
1,334,657,35,18,Accra141.jpg,1595,975
1,386,521,23,23,Accra141.jpg,1595,975
1,928,821,30,16,Accra141.jpg,1595,975
1,115,316,129,62,Accra142.jpg,1595,975
1,34,782,87,93,Accra142.jpg,1595,975
1,405,483,57,106,Accra145.jpg,1595,975
1,490,532,68,125,Accra145.jpg,1595,975
1,711,577,144,76,Accra147.jpg,1595,975
1,768,483,144,89,Accra147.jpg,1595,975
1,848,437,93,62,Accra147.jpg,1595,975
1,859,401,161,28,Accra147.jpg,1595,975
1,1158,424,108,72,Accra148.jpg,1595,975
1,1311,524,134,78,Accra148.jpg,1595,975
1,950,606,157,132,Accra148.jpg,1595,975
1,93,390,127,40,Accra148.jpg,1595,975
1,4,441,108,64,Accra148.jpg,1595,975
1,314,541,100,142,Accra150.jpg,1595,975
1,689,324,134,32,Accra150.jpg,1595,975
1,997,519,89,74,Accra152.jpg,1595,975
1,532,483,172,87,Accra154.jpg,1595,975
1,204,587,195,76,Accra155.jpg,1595,975
1,505,538,185,55,Accra155.jpg,1595,975
1,991,434,168,59,Accra155.jpg,1595,975
1,1334,375,151,59,Accra155.jpg,1595,975
1,1542,333,53,83,Accra155.jpg,1595,975
1,1220,515,125,62,Accra156.jpg,1595,975
1,322,664,102,78,Accra156.jpg,1595,975
1,301,78,70,91,Accra157.jpg,1595,975
1,407,337,70,95,Accra157.jpg,1595,975
1,1409,586,110,31,Accra158.jpg,1595,975
1,1444,629,82,21,Accra158.jpg,1595,975
1,1097,948,129,27,Accra158.jpg,1595,975
1,505,492,121,38,Accra159.jpg,1595,975
1,670,284,119,34,Accra159.jpg,1595,975
1,725,309,102,62,Accra159.jpg,1595,975
1,895,384,125,104,Accra159.jpg,1595,975
1,571,625,146,98,Accra159.jpg,1595,975
1,252,509,286,214,Accra16.jpg,1595,975
1,431,519,165,132,Accra160.jpg,1595,975
1,518,318,185,142,Accra160.jpg,1595,975
1,1154,142,153,108,Accra160.jpg,1595,975
1,666,377,36,25,Accra161.jpg,1595,975
1,922,285,32,25,Accra161.jpg,1595,975
1,982,357,37,19,Accra161.jpg,1595,975
1,991,380,36,21,Accra161.jpg,1595,975
1,1100,314,38,22,Accra161.jpg,1595,975
1,1188,282,30,25,Accra161.jpg,1595,975
1,305,635,30,29,Accra161.jpg,1595,975
1,392,621,50,1,Accra161.jpg,1595,975
1,142,603,32,22,Accra161.jpg,1595,975
1,0,646,35,30,Accra161.jpg,1595,975
1,0,767,26,7,Accra161.jpg,1595,975
1,89,722,31,24,Accra161.jpg,1595,975
1,0,781,37,22,Accra161.jpg,1595,975
1,146,246,112,119,Accra162.jpg,1595,975
1,371,551,138,89,Accra162.jpg,1595,975
1,414,615,132,100,Accra162.jpg,1595,975
1,855,375,104,76,Accra162.jpg,1595,975
1,1181,241,108,81,Accra162.jpg,1595,975
1,218,362,76,106,Accra163.jpg,1595,975
1,78,772,108,104,Accra163.jpg,1595,975
1,246,704,104,108,Accra163.jpg,1595,975
1,575,585,108,93,Accra163.jpg,1595,975
1,918,434,110,83,Accra163.jpg,1595,975
1,1141,335,91,83,Accra163.jpg,1595,975
1,1343,254,110,57,Accra163.jpg,1595,975
1,1404,135,108,91,Accra163.jpg,1595,975
1,501,441,125,78,Accra164.jpg,1595,975
1,806,284,123,91,Accra164.jpg,1595,975
1,1387,93,100,68,Accra164.jpg,1595,975
1,25,74,132,74,Accra165.jpg,1595,975
1,208,63,125,93,Accra165.jpg,1595,975
1,1048,661,64,98,Accra165.jpg,1595,975
1,1200,642,64,91,Accra165.jpg,1595,975
1,1455,772,81,81,Accra165.jpg,1595,975
1,541,309,68,93,Accra166.jpg,1595,975
1,687,210,87,106,Accra166.jpg,1595,975
1,395,780,115,112,Accra166.jpg,1595,975
1,1334,76,83,81,Accra167.jpg,1595,975
1,1090,68,74,95,Accra167.jpg,1595,975
1,829,82,134,40,Accra167.jpg,1595,975
1,681,216,78,91,Accra167.jpg,1595,975
1,757,403,185,62,Accra167.jpg,1595,975
1,492,301,91,106,Accra167.jpg,1595,975
1,492,492,108,91,Accra167.jpg,1595,975
1,240,428,21,87,Accra167.jpg,1595,975
1,165,451,66,76,Accra167.jpg,1595,975
1,68,538,85,102,Accra167.jpg,1595,975
1,140,751,78,78,Accra167.jpg,1595,975
1,259,702,32,85,Accra167.jpg,1595,975
1,386,653,91,72,Accra167.jpg,1595,975
1,475,611,64,85,Accra167.jpg,1595,975
1,577,666,70,76,Accra167.jpg,1595,975
1,539,600,85,45,Accra167.jpg,1595,975
1,331,901,25,74,Accra167.jpg,1595,975
1,1058,613,32,108,Accra167.jpg,1595,975
1,925,685,42,125,Accra167.jpg,1595,975
1,759,545,66,89,Accra170.jpg,1595,975
1,386,161,74,85,Accra172.jpg,1595,975
1,539,549,74,95,Accra172.jpg,1595,975
1,0,265,66,38,Accra172.jpg,1595,975
1,785,636,74,81,Accra173.jpg,1595,975
1,433,12,81,76,Accra175.jpg,1595,975
1,647,521,76,93,Accra175.jpg,1595,975
1,704,261,64,74,Accra176.jpg,1595,975
1,679,212,81,64,Accra176.jpg,1595,975
1,776,210,55,93,Accra176.jpg,1595,975
1,808,174,81,85,Accra176.jpg,1595,975
1,212,547,87,108,Accra176.jpg,1595,975
1,1317,583,85,72,Accra176.jpg,1595,975
1,1084,384,100,78,Accra176.jpg,1595,975
1,286,543,68,53,Accra177.jpg,1595,975
1,314,570,66,59,Accra177.jpg,1595,975
1,749,290,28,62,Accra177.jpg,1595,975
1,484,394,47,32,Accra177.jpg,1595,975
1,79,98,41,37,Accra177.jpg,1595,975
1,41,178,54,33,Accra177.jpg,1595,975
1,81,184,38,46,Accra177.jpg,1595,975
1,1561,759,34,95,Accra177.jpg,1595,975
1,744,780,87,78,Accra179.jpg,1595,975
1,136,212,59,49,Accra179.jpg,1595,975
1,180,178,47,59,Accra179.jpg,1595,975
1,57,316,121,70,Accra18.jpg,1595,975
1,897,398,210,172,Accra18.jpg,1595,975
1,445,460,91,68,Accra180.jpg,1595,975
1,452,494,108,68,Accra180.jpg,1595,975
1,121,617,136,53,Accra180.jpg,1595,975
1,178,689,106,64,Accra180.jpg,1595,975
1,231,714,110,66,Accra180.jpg,1595,975
1,51,636,88,62,Accra181.jpg,1595,975
1,56,681,98,65,Accra181.jpg,1595,975
1,104,712,109,62,Accra181.jpg,1595,975
1,96,512,37,48,Accra182.jpg,1595,975
1,1434,91,46,45,Accra182.jpg,1595,975
1,1403,151,31,41,Accra182.jpg,1595,975
1,1363,205,47,40,Accra182.jpg,1595,975
1,1301,275,65,31,Accra182.jpg,1595,975
1,1284,307,49,22,Accra182.jpg,1595,975
1,1263,331,69,16,Accra182.jpg,1595,975
1,1257,360,65,15,Accra182.jpg,1595,975
1,1242,372,52,36,Accra182.jpg,1595,975
1,1196,338,35,46,Accra182.jpg,1595,975
1,1278,433,56,44,Accra182.jpg,1595,975
1,1366,481,39,46,Accra182.jpg,1595,975
1,1413,485,30,73,Accra182.jpg,1595,975
1,1329,609,43,51,Accra182.jpg,1595,975
1,1058,673,44,57,Accra182.jpg,1595,975
1,983,750,28,52,Accra182.jpg,1595,975
1,1073,573,35,47,Accra182.jpg,1595,975
1,1000,609,40,56,Accra182.jpg,1595,975
1,847,565,52,33,Accra182.jpg,1595,975
1,841,517,32,38,Accra182.jpg,1595,975
1,1194,757,49,106,Accra183.jpg,1595,975
1,1324,589,89,117,Accra183.jpg,1595,975
1,1449,502,81,102,Accra183.jpg,1595,975
1,723,632,117,89,Accra184.jpg,1595,975
1,526,299,93,112,Accra185.jpg,1595,975
1,1029,492,286,112,Accra19.jpg,1595,975
1,1343,483,163,91,Accra19.jpg,1595,975
1,804,475,72,64,Accra19.jpg,1595,975
1,528,430,119,91,Accra191.jpg,1595,975
1,778,526,127,106,Accra191.jpg,1595,975
1,375,299,163,89,Accra192.jpg,1595,975
1,571,309,117,89,Accra192.jpg,1595,975
1,725,337,110,40,Accra192.jpg,1595,975
1,827,343,117,49,Accra192.jpg,1595,975
1,967,341,115,62,Accra192.jpg,1595,975
1,768,415,49,108,Accra192.jpg,1595,975
1,717,473,51,104,Accra192.jpg,1595,975
1,825,422,57,91,Accra192.jpg,1595,975
1,884,479,32,81,Accra192.jpg,1595,975
1,925,519,102,49,Accra192.jpg,1595,975
1,954,271,110,45,Accra192.jpg,1595,975
1,672,265,151,36,Accra192.jpg,1595,975
1,715,695,49,104,Accra192.jpg,1595,975
1,706,827,66,112,Accra192.jpg,1595,975
1,808,848,57,106,Accra192.jpg,1595,975
1,891,865,108,59,Accra192.jpg,1595,975
1,874,793,129,51,Accra192.jpg,1595,975
1,800,608,49,140,Accra192.jpg,1595,975
1,893,625,102,68,Accra192.jpg,1595,975
1,880,591,40,93,Accra192.jpg,1595,975
1,1171,407,110,64,Accra192.jpg,1595,975
1,405,174,98,47,Accra193.jpg,1595,975
1,534,165,100,55,Accra193.jpg,1595,975
1,658,169,95,51,Accra193.jpg,1595,975
1,889,199,119,66,Accra193.jpg,1595,975
1,11,104,115,40,Accra194.jpg,1595,975
1,32,303,110,66,Accra194.jpg,1595,975
1,168,303,78,57,Accra194.jpg,1595,975
1,180,197,106,51,Accra194.jpg,1595,975
1,950,282,117,57,Accra194.jpg,1595,975
1,1090,282,119,45,Accra194.jpg,1595,975
1,64,309,64,100,Accra195.jpg,1595,975
1,297,237,78,49,Accra195.jpg,1595,975
1,121,640,95,76,Accra195.jpg,1595,975
1,142,545,104,68,Accra195.jpg,1595,975
1,505,364,53,125,Accra195.jpg,1595,975
1,581,301,64,125,Accra195.jpg,1595,975
1,384,865,64,98,Accra195.jpg,1595,975
1,946,651,47,95,Accra195.jpg,1595,975
1,539,246,53,117,Accra196.jpg,1595,975
1,354,570,64,151,Accra196.jpg,1595,975
1,1097,46,53,98,Accra196.jpg,1595,975
1,912,369,51,127,Accra196.jpg,1595,975
1,929,494,93,102,Accra196.jpg,1595,975
1,698,854,89,91,Accra196.jpg,1595,975
1,1147,736,66,112,Accra196.jpg,1595,975
1,1444,820,64,117,Accra196.jpg,1595,975
1,1226,534,53,132,Accra196.jpg,1595,975
1,32,411,76,117,Accra197.jpg,1595,975
1,477,290,64,123,Accra197.jpg,1595,975
1,698,502,78,123,Accra197.jpg,1595,975
1,776,377,62,119,Accra197.jpg,1595,975
1,269,59,66,110,Accra197.jpg,1595,975
1,566,121,62,119,Accra197.jpg,1595,975
1,1419,150,83,62,Accra197.jpg,1595,975
1,1432,82,93,70,Accra197.jpg,1595,975
1,604,661,106,189,Accra197.jpg,1595,975
1,1126,602,57,98,Accra198.jpg,1595,975
1,1067,852,72,117,Accra198.jpg,1595,975
1,235,51,85,76,Accra198.jpg,1595,975
1,212,116,83,66,Accra198.jpg,1595,975
1,155,174,106,55,Accra198.jpg,1595,975
1,117,311,45,70,Accra198.jpg,1595,975
1,134,388,138,64,Accra198.jpg,1595,975
1,108,477,112,78,Accra198.jpg,1595,975
1,85,545,119,62,Accra198.jpg,1595,975
1,49,583,102,57,Accra198.jpg,1595,975
1,53,651,112,59,Accra198.jpg,1595,975
1,2,757,85,95,Accra198.jpg,1595,975
1,2,210,40,40,Accra198.jpg,1595,975
1,0,150,76,45,Accra198.jpg,1595,975
1,0,95,98,49,Accra198.jpg,1595,975
1,702,142,49,123,Accra199.jpg,1595,975
1,889,142,91,55,Accra199.jpg,1595,975
1,844,197,119,78,Accra199.jpg,1595,975
1,819,301,85,51,Accra199.jpg,1595,975
1,791,354,95,70,Accra199.jpg,1595,975
1,774,464,108,83,Accra199.jpg,1595,975
1,734,583,87,78,Accra199.jpg,1595,975
1,698,638,85,78,Accra199.jpg,1595,975
1,666,685,78,74,Accra199.jpg,1595,975
1,641,744,91,74,Accra199.jpg,1595,975
1,1082,216,98,87,Accra199.jpg,1595,975
1,1061,288,91,64,Accra199.jpg,1595,975
1,1001,348,112,66,Accra199.jpg,1595,975
1,982,443,138,40,Accra199.jpg,1595,975
1,952,490,49,55,Accra199.jpg,1595,975
1,1048,502,76,51,Accra199.jpg,1595,975
1,982,564,112,51,Accra199.jpg,1595,975
1,959,642,95,78,Accra199.jpg,1595,975
1,937,714,110,57,Accra199.jpg,1595,975
1,904,753,95,64,Accra199.jpg,1595,975
1,901,846,125,30,Accra199.jpg,1595,975
1,770,331,774,462,Accra20.jpg,1595,975
1,638,339,119,110,Accra20.jpg,1595,975
1,0,379,297,189,Accra20.jpg,1595,975
1,206,778,923,197,Accra20.jpg,1595,975
1,1224,275,110,62,Accra200.jpg,1595,975
1,1041,303,68,83,Accra200.jpg,1595,975
1,1198,328,89,81,Accra200.jpg,1595,975
1,1417,362,106,68,Accra200.jpg,1595,975
1,1179,405,108,59,Accra200.jpg,1595,975
1,1396,418,100,62,Accra200.jpg,1595,975
1,1336,479,134,59,Accra200.jpg,1595,975
1,1143,490,89,68,Accra200.jpg,1595,975
1,1324,568,125,47,Accra200.jpg,1595,975
1,1086,615,142,66,Accra200.jpg,1595,975
1,1071,723,100,74,Accra200.jpg,1595,975
1,1022,797,102,53,Accra200.jpg,1595,975
1,993,846,87,45,Accra200.jpg,1595,975
1,965,916,136,28,Accra200.jpg,1595,975
1,1239,905,123,36,Accra200.jpg,1595,975
1,1290,871,112,38,Accra200.jpg,1595,975
1,1285,804,140,49,Accra200.jpg,1595,975
1,1351,693,85,72,Accra200.jpg,1595,975
1,1300,630,36,64,Accra200.jpg,1595,975
1,1470,661,49,115,Accra200.jpg,1595,975
1,614,555,4,0,Accra24.jpg,1529,975
1,292,260,63,19,Accra24.jpg,1529,975
1,281,289,61,19,Accra24.jpg,1529,975
1,275,318,57,16,Accra24.jpg,1529,975
1,272,341,57,14,Accra24.jpg,1529,975
1,274,364,61,16,Accra24.jpg,1529,975
1,269,390,55,19,Accra24.jpg,1529,975
1,263,419,65,15,Accra24.jpg,1529,975
1,265,448,59,12,Accra24.jpg,1529,975
1,262,475,64,17,Accra24.jpg,1529,975
1,259,502,55,17,Accra24.jpg,1529,975
1,248,528,65,22,Accra24.jpg,1529,975
1,467,15,14,44,Accra24.jpg,1529,975
1,451,78,15,50,Accra24.jpg,1529,975
1,495,195,26,61,Accra24.jpg,1529,975
1,550,193,26,59,Accra24.jpg,1529,975
1,480,70,19,55,Accra24.jpg,1529,975
1,504,70,26,47,Accra24.jpg,1529,975
1,530,71,19,51,Accra24.jpg,1529,975
1,551,71,21,48,Accra24.jpg,1529,975
1,579,76,22,51,Accra24.jpg,1529,975
1,634,72,25,48,Accra24.jpg,1529,975
1,651,74,28,56,Accra24.jpg,1529,975
1,685,74,19,55,Accra24.jpg,1529,975
1,733,78,23,43,Accra24.jpg,1529,975
1,755,82,24,50,Accra24.jpg,1529,975
1,788,79,19,49,Accra24.jpg,1529,975
1,820,77,19,54,Accra24.jpg,1529,975
1,838,86,26,54,Accra24.jpg,1529,975
1,873,78,19,61,Accra24.jpg,1529,975
1,923,28,18,52,Accra24.jpg,1529,975
1,655,203,26,47,Accra24.jpg,1529,975
1,717,200,19,49,Accra24.jpg,1529,975
1,794,201,25,50,Accra24.jpg,1529,975
1,831,201,12,57,Accra24.jpg,1529,975
1,853,199,15,57,Accra24.jpg,1529,975
1,884,202,14,49,Accra24.jpg,1529,975
1,940,201,19,53,Accra24.jpg,1529,975
1,911,198,17,56,Accra24.jpg,1529,975
1,1021,206,23,49,Accra24.jpg,1529,975
1,651,223,124,49,Accra25.jpg,1529,975
1,797,239,100,69,Accra25.jpg,1529,975
1,939,262,114,71,Accra25.jpg,1529,975
1,1141,309,132,65,Accra25.jpg,1529,975
1,0,282,45,47,Accra25.jpg,1529,975
1,12,282,69,71,Accra25.jpg,1529,975
1,61,313,87,63,Accra25.jpg,1529,975
1,159,319,69,73,Accra25.jpg,1529,975
1,203,339,73,67,Accra25.jpg,1529,975
1,238,359,91,65,Accra25.jpg,1529,975
1,335,368,59,85,Accra25.jpg,1529,975
1,378,400,85,79,Accra25.jpg,1529,975
1,447,416,67,71,Accra25.jpg,1529,975
1,502,429,79,63,Accra25.jpg,1529,975
1,541,443,81,81,Accra25.jpg,1529,975
1,1088,557,35,112,Accra25.jpg,1529,975
1,781,363,37,89,Accra25.jpg,1529,975
1,1204,583,41,114,Accra25.jpg,1529,975
1,1285,589,61,130,Accra25.jpg,1529,975
